basDt,srtnCd,fndNm,ctg,setpDt,fndTp,prdClsfCd,asoStdCd
20260511,26371,iM에셋 우량채권 증권모투자신탁(채권),자산운용,20100507,채권형,11112Z120010131ZZZZ5,KR5368263715
20260511,ER922,하나리레이팅코리아50증권투자신탁[채권혼합-재간접형]ClassC-PE,자산운용,20260223,재간접,161116120360121ZZZZ4,K55102ER9227
20260511,ER916,하나리레이팅코리아50증권투자신탁[채권혼합-재간접형]ClassA-E,자산운용,20260219,재간접,161116120010121ZZZZ4,K55102ER9169
20260511,77508,한국투자퇴직연금LCF2025증권자투자신탁2호(채권혼합),자산운용,20080507,혼합채권형,14113Z12060012111124,KR5101775082
20260511,AR669,KB 법인용 MMF I-2호(국공채) C-I 클래스,자산운용,20140429,단기금융,1EE119120490181ZZZZ6,KR5223AR6694
20260511,ES795,플러스 핵심성장 목표전환형 증권투자신탁2호(주식혼합) 종류C-p1,자산운용,20260226,혼합주식형,13113A32036012111ZZ2,K55311ES7953
20260511,ES789,플러스 핵심성장 목표전환형 증권투자신탁2호(주식혼합) 종류A,자산운용,20260226,혼합주식형,13113232012012111ZZ2,K55311ES7896
20260511,EV110,한국투자JP모간미국테크증권자투자신탁H(주식-재간접형)(C),자산운용,20260507,재간접,16123412001101111ZZB,K55101EV1104
20260511,EV118,한국투자JP모간미국테크증권자투자신탁H(주식-재간접형)(C-W),자산운용,20260507,재간접,16123B12001101111ZZB,K55101EV1187
20260511,EV117,한국투자JP모간미국테크증권자투자신탁H(주식-재간접형)(C-Re),자산운용,20260507,재간접,16123612060101111ZZB,K55101EV1179
20260511,EV116,한국투자JP모간미국테크증권자투자신탁H(주식-재간접형)(C-R),자산운용,20260507,재간접,16123A12060101111ZZB,K55101EV1161
20260511,EV115,한국투자JP모간미국테크증권자투자신탁H(주식-재간접형)(C-Pe),자산운용,20260507,재간접,16123612036101111ZZB,K55101EV1153
20260511,EV114,한국투자JP모간미국테크증권자투자신탁H(주식-재간접형)(C-P),자산운용,20260507,재간접,16123412036101111ZZB,K55101EV1146
