symbol,bm_index,lst_date,am_company,mkt_capital,aum,leverage,nav,dsc_rate,tot_expense,trk_error,stt,cgt,dvt
069500,코스피 200,2002. 10. 14.,삼성자산운용(주),"24조 9,474억","25조 8,698억",1배,"121,854",-0.04%,0.15%,0.40%,-,비과세,-
360750,S&P 500,2020. 08. 07.,미래에셋자산운용(주),"17조 5,853억","17조 3,682억",1배,"27,004",-0.09%,0.0068%,0.12%,-,배당소득세(보유기간 과세) 15.4%,15.4%
396500,FnGuide 반도체TOP10 지수,2021. 08. 10.,미래에셋자산운용(주),"12조 2,639억","12조 9,047억",1배,"49,424",-0.05%,0.45%,0.39%,-,비과세,-
102110,코스피 200,2008. 04. 03.,미래에셋자산운용(주),"10조 1,325억","10조 5,004억",1배,"121,884",-0.12%,0.05%,0.39%,-,비과세,-
133690,NASDAQ 100,2010. 10. 18.,미래에셋자산운용(주),10조 604억,10조 26억,1배,"190,598",0.02%,0.0068%,0.09%,-,15.4%,15.4%
379800,S&P 500 Total Return Index,2021. 04. 09.,삼성자산운용(주),"9조 2,070억",9조 920억,1배,"24,619",-0.08%,0.0062%,0.08%,-,배당소득세(보유기간 과세) 15.4%,15.4%
122630,코스피 200 레버리지지수,2010. 02. 22.,삼성자산운용(주),"8조 5,533억","9조 2,389억",2배,"169,676",0.62%,0.64%,5.38%,-,배당소득세(보유기간 과세) 15.4%,15.4%
278530,코스피 200 TR지수,2017. 11. 21.,삼성자산운용(주),"8조 1,188억","8조 4,350억",1배,"44,035",0.02%,0.05%,0.16%,-,배당소득세(보유기간 과세) 15.4%,15.4%
459580,KAP 양도성예금증서(CD)금리지수(총수익지수),2023. 06. 08.,삼성자산운용(주),8조 157억,8조 146억,1배,"1,074,297",0.01%,0.02%,0.05%,-,배당소득세(보유기간 과세) 15.4%,15.4%
379810,NASDAQ-100 Total Return Index,2021. 04. 09.,삼성자산운용(주),"7조 6,227억","7조 5,387억",1배,"28,528",0.02%,0.0062%,0.08%,-,배당소득세(보유기간 과세) 15.4%,15.4%
