symbol,stock_nm,stock_qty,stock_weight,stock_price,stock_change
069500,삼성전자,"7,022 주",32.90 %,"273,000","하락 12,500 (-4.38%)"
069500,SK하이닉스,834 주,25.73 %,"1,827,000","하락 53,000 (-2.82%)"
069500,SK스퀘어,139 주,2.70 %,"1,108,000","하락 79,000 (-6.66%)"
069500,현대차,205 주,2.17 %,"632,000","하락 14,000 (-2.17%)"
069500,두산에너빌리티,653 주,1.37 %,"124,300","하락 3,700 (-2.89%)"
069500,KB금융,482 주,1.25 %,"153,100","하락 5,700 (-3.59%)"
069500,삼성전기,84 주,1.24 %,"934,000","상승 34,000 (+3.78%)"
069500,삼성물산,145 주,1.07 %,"435,500","하락 16,500 (-3.65%)"
069500,한화에어로스페이스,49 주,1.05 %,"1,281,000","하락 34,000 (-2.59%)"
069500,기아,368 주,1.05 %,"165,600","하락 9,100 (-5.21%)"
360750,엔비디아,351.1 주,8.23 %,$ 219.44,상승 4.24 (+1.97%)
360750,애플,212.1 주,6.78 %,$ 292.68,하락 0.37 (-0.13%)
360750,마이크로소프트,107.3 주,4.85 %,$ 412.66,하락 2.46 (-0.59%)
360750,아마존닷컴,141.1 주,4.19 %,$ 268.99,하락 3.69 (-1.35%)
360750,알파벳 Class A,84.1 주,3.67 %,$ 388.64,하락 12.16 (-3.03%)
360750,브로드컴,68.5 주,3.21 %,$ 428.43,하락 1.57 (-0.37%)
360750,알파벳 Class C,67.5 주,2.92 %,$ 386.77,하락 10.28 (-2.59%)
360750,메타,31.6 주,2.10 %,$ 598.86,하락 10.77 (-1.77%)
360750,테슬라,40.6 주,1.89 %,$ 445.00,상승 16.65 (+3.89%)
360750,버크셔 해서웨이 Class B,26.4 주,1.37 %,$ 479.55,상승 3.61 (+0.76%)
396500,SK하이닉스,433 주,32.94 %,"1,827,000","하락 53,000 (-2.82%)"
396500,삼성전자,"2,117 주",24.45 %,"273,000","하락 12,500 (-4.38%)"
396500,한미반도체,"1,002 주",16.21 %,"380,000","하락 20,000 (-5.00%)"
396500,리노공업,"1,183 주",5.54 %,"108,900","하락 6,900 (-5.96%)"
396500,DB하이텍,728 주,5.50 %,"166,300","하락 20,400 (-10.93%)"
396500,원익IPS,762 주,4.36 %,"125,900","하락 15,700 (-11.09%)"
396500,이오테크닉스,200 주,4.05 %,"455,000","하락 46,000 (-9.18%)"
396500,HPSP,"1,140 주",2.55 %,"51,600","하락 3,800 (-6.86%)"
396500,ISC,243 주,2.39 %,"233,000","하락 10,500 (-4.31%)"
396500,솔브레인,100 주,1.88 %,"425,500","하락 41,000 (-8.79%)"
102110,삼성전자,"7,039 주",32.97 %,"273,000","하락 12,500 (-4.38%)"
102110,SK하이닉스,838 주,25.85 %,"1,827,000","하락 53,000 (-2.82%)"
102110,SK스퀘어,137 주,2.66 %,"1,107,000","하락 80,000 (-6.74%)"
102110,현대차,203 주,2.15 %,"630,000","하락 16,000 (-2.48%)"
102110,두산에너빌리티,645 주,1.35 %,"124,200","하락 3,800 (-2.97%)"
102110,KB금융,487 주,1.26 %,"153,100","하락 5,700 (-3.59%)"
102110,삼성전기,83 주,1.22 %,"934,000","상승 34,000 (+3.78%)"
102110,삼성물산,143 주,1.06 %,"435,500","하락 16,500 (-3.65%)"
102110,한화에어로스페이스,49 주,1.05 %,"1,281,000","하락 34,000 (-2.59%)"
102110,기아,364 주,1.04 %,"165,600","하락 9,400 (-5.38%)"
133690,엔비디아,520.1 주,8.64 %,$ 219.44,상승 4.24 (+1.97%)
133690,애플,314.2 주,7.11 %,$ 292.68,하락 0.37 (-0.13%)
133690,마이크로소프트,158.9 주,5.09 %,$ 412.66,하락 2.46 (-0.59%)
133690,아마존닷컴,229.8 주,4.84 %,$ 268.99,하락 3.69 (-1.35%)
133690,알파벳 Class A,124.6 주,3.85 %,$ 388.64,하락 12.16 (-3.03%)
133690,마이크론 테크놀로지,66.5 주,3.83 %,$ 795.33,상승 48.52 (+6.50%)
133690,알파벳 Class C,116.4 주,3.57 %,$ 386.77,하락 10.28 (-2.59%)
133690,테슬라,106.8 주,3.53 %,$ 445.00,상승 16.65 (+3.89%)
133690,AMD(어드밴스드 마이크로 디바이시스),96.3 주,3.38 %,$ 458.79,상승 3.60 (+0.79%)
133690,브로드컴,101.5 주,3.37 %,$ 428.43,하락 1.57 (-0.37%)
379800,엔비디아,322.37 주,8.29 %,$ 219.44,상승 4.24 (+1.97%)
379800,애플,194.76 주,6.83 %,$ 292.68,하락 0.37 (-0.13%)
379800,마이크로소프트,98.51 주,4.89 %,$ 412.66,하락 2.46 (-0.59%)
379800,아마존닷컴,129.59 주,4.22 %,$ 268.99,하락 3.69 (-1.35%)
379800,알파벳 Class A,77.24 주,3.70 %,$ 388.64,하락 12.16 (-3.03%)
379800,브로드컴,62.9 주,3.23 %,$ 428.43,하락 1.57 (-0.37%)
379800,알파벳 Class C,62.04 주,2.94 %,$ 386.77,하락 10.28 (-2.59%)
379800,메타,29.02 주,2.11 %,$ 598.86,하락 10.77 (-1.77%)
379800,테슬라,37.31 주,1.91 %,$ 445.00,상승 16.65 (+3.89%)
379800,버크셔 해서웨이 Class B,24.33 주,1.38 %,$ 479.55,상승 3.61 (+0.76%)
122630,2026-06 코스피200지수선물,29.74 계약,106.41 %,,
122630,KODEX 200,"18,401 주",26.41 %,"117,360","하락 4,445 (-3.65%)"
122630,삼성전자,"5,434 주",18.28 %,"273,000","하락 12,500 (-4.38%)"
122630,SK하이닉스,645 주,14.29 %,"1,822,000","하락 58,000 (-3.09%)"
122630,KODEX 200TR,"15,401 주",7.99 %,"42,415","하락 1,630 (-3.70%)"
122630,원화현금,"628,785,596 원",7.41 %,,
122630,SK스퀘어,108 주,1.51 %,"1,104,000","하락 83,000 (-6.99%)"
122630,PLUS 200,"1,027 주",1.49 %,"119,285","하락 4,215 (-3.41%)"
122630,현대차,159 주,1.21 %,"630,500","하락 15,500 (-2.40%)"
122630,두산에너빌리티,505 주,0.76 %,"124,100","하락 3,900 (-3.05%)"
278530,삼성전자,"7,587 주",32.79 %,"272,000","하락 13,500 (-4.73%)"
278530,SK하이닉스,901 주,25.64 %,"1,822,000","하락 58,000 (-3.09%)"
278530,SK스퀘어,150 주,2.69 %,"1,104,000","하락 83,000 (-6.99%)"
278530,현대차,222 주,2.17 %,"629,000","하락 17,000 (-2.63%)"
278530,두산에너빌리티,705 주,1.36 %,"124,100","하락 3,900 (-3.05%)"
278530,KB금융,521 주,1.25 %,"153,100","하락 5,700 (-3.59%)"
278530,삼성전기,91 주,1.23 %,"931,500","상승 31,500 (+3.50%)"
278530,삼성물산,157 주,1.07 %,"434,000","하락 18,000 (-3.98%)"
278530,한화에어로스페이스,53 주,1.05 %,"1,279,000","하락 36,000 (-2.74%)"
278530,기아,398 주,1.05 %,"165,200","하락 9,500 (-5.44%)"
459580,원화현금,"49,259,391 원",45.85 %,,
459580,KODEX 머니마켓액티브,157 주,15.24 %,"104,327",상승 7 (+0.01%)
459580,스왑(하나금융투자),"13,977,102 주",13.01 %,,
459580,스왑(삼성증권),"8,084,913 주",7.52 %,,
459580,KODEX 26-12 금융채(AA-이상)액티브,422 주,3.95 %,"10,080",0 (0.00%)
459580,물가01625-3206(22-6),,1.84 %,,
459580,스왑(유안타증권),"1,956,289 주",1.82 %,,
